# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2351399	2352001	-	CBW18327.1			cytochrome c-type protein NapC	napC		SL1344_2225	603	200.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2352011	2352460	-	CBW18328.1			cytochrome c-type protein NapB precursor	napB		SL1344_2226	450	149.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2352576	2353445	-	CBW18329.1			ferredoxin-type protein NapH	napH		SL1344_2227	870	289.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2353432	2354127	-	CBW18330.1			ferredoxin-type protein NapG	napG		SL1344_2228	696	231.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2354134	2356620	-	CBW18331.1			probable nitrate reductase	napA		SL1344_2229	2487	828.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2356617	2356880	-	CBW18332.1			hypothetical napAB assembly protein	napD		SL1344_2230	264	87.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2356870	2357361	-	CBW18333.1			ferredoxin-type protein NapF	napF		SL1344_2231	492	163.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2357775	2358269	+	CBW18334.1			Ecotin precursor.	eco		SL1344_2232	495	164.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2358478	2360121	-	CBW18335.1			hypothetical ABC transporter ATP-binding protein	yojI		SL1344_2233	1644	547.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2360197	2360847	-	CBW18336.1			AlkB protein	alkB		SL1344_2234	651	216.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2360850	2361911	-	CBW18337.1			ADA regulatory protein	ada		SL1344_2235	1062	353.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2361992	2363044	-	CBW18338.1			thiamine biosynthesis protein	apbE		SL1344_2236	1053	350.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2363159	2364127	-	CBW18339.1			outer membrane protein C	ompC		SL1344_2237	969	322.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2365024	2367693	+	CBW18340.1			hypothetical two-component system sensor kinase	yojN		SL1344_2238	2670	889.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2367710	2368360	+	CBW18341.1			regulator of capsule synthesis B component	rcsB		SL1344_2239	651	216.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2368463	2371309	-	CBW18342.1			sensor protein RcsC	rcsC		SL1344_2240	2847	948.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2371427	2374063	-	CBW18343.1			DNA gyrase subunit A	gyrA		SL1344_2241	2637	878.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2374473	2375675	-	CBW18344.1			hypothetical MR-MLE-family protein			SL1344_2242	1203	400.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2375690	2377015	-	CBW18345.1			hypothetical transmembrane transpot protein			SL1344_2243	1326	441.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2377254	2377949	+	CBW18346.1			hypothetical transcriptional regulator			SL1344_2244	696	231.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2378032	2378760	+	CBW18347.1			3-demethylubiquinone-9 3-methyltransferase	ubiG		SL1344_2245	729	242.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2379116	2381401	+	CBW18348.1			ribonucleoside-diphosphate reductase 1 alpha chain	nrdA		SL1344_2246	2286	761.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2381514	2382644	+	CBW18349.1			ribonucleoside-diphosphate reductase 1 beta chain	nrdB		SL1344_2247	1131	376.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2382644	2382898	+	CBW18350.1			hypothetical ferredoxin	yfaE		SL1344_2248	255	84.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2382900	2384090	-	CBW18351.1			hypothetical transmembrane transport protein			SL1344_2249	1191	396.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2384252	2385130	+	CBW18352.1			hypothetical transcriptional regulator			SL1344_2250	879	292.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2385246	2386316	-	CBW18353.1			glycerophosphoryl diester phosphodiesterase periplasmic precursor	glpQ		SL1344_2251	1071	356.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2386321	2387679	-	CBW18354.1			glycerol-3-phosphate transporter	glpT		SL1344_2252	1359	452.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2387952	2389580	+	CBW18355.1			anaerobic glycerol-3-phosphate dehydrogenase subunit A	glpA		SL1344_2253	1629	542.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2389570	2390829	+	CBW18356.1			Anaerobic glycerol-3-phosphate dehydrogenase subunit B	glpB		SL1344_2254	1260	419.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2390826	2392016	+	CBW18357.1			anaerobic glycerol-3-phosphate dehydrogenase subunit C	glpC		SL1344_2255	1191	396.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2392511	2393464	+	CBW18358.1			Type III secretion system effector protein, deubiquitinase	sseL		SL1344_2256	954	317.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2393574	2393750	-	CBW18359.1			conserved hypothetical protein			SL1344_2257	177	58.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2393756	2394559	-	CBW18360.1			hypothetical 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase			SL1344_2258	804	267.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2394585	2395874	-	CBW18361.1			hypothetical transport protein	yfaV		SL1344_2259	1290	429.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2395930	2397147	-	CBW18362.1			hypothetical MR-MLE-family protein	yfaW		SL1344_2260	1218	405.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2397149	2397931	-	CBW18363.1			hypothetical transcriptional regulator	yfaX		SL1344_2261	783	260.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2398181	2399377	-	CBW18364.1			conserved hypothetical protein			SL1344_2262	1197	398.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2399492	2400058	-	CBW18365.2			conserved hypothetical protein	yfaZ		SL1344_2263	567	188.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2400313	2400738	+	CBW18366.1			conserved hypothetical protein	yfaO		SL1344_2264	426	141.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2400783	2401388	-	CBW18367.1			hypothetical protein (protein induced by aluminum)	ais		SL1344_2265	606	201.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2401669	2402826	+	CBW18368.1			hypothetical lipopolysaccharide biosynthesis protein	yfbE		SL1344_2266	1158	385.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2402829	2403812	+	CBW18369.1			hypothetical lipopolysaccharide modification protein	pmrF		SL1344_2267	984	327.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2403809	2405791	+	CBW18370.1			hypothetical lipopolysaccharide modification protein	yfbG		SL1344_2268	1983	660.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2405788	2406687	+	CBW18371.1			conserved hypothetical protein			SL1344_2269	900	299.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2406684	2408330	+	CBW18372.1			melittin resistance protein PqaB	arnT		SL1344_2270	1647	548.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2408405	2408662	+	CBW18373.1			hypothetical inner membrane protein			SL1344_2271	258	85.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2408662	2409039	+	CBW18374.1			hypothetical membrane protein			SL1344_2272	378	125.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2409034	2409291	-	CBW18375.1			polymyxin B resistance protein	pmrD		SL1344_2273	258	85.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2409389	2410756	-	CBW18376.1			O-succinylbenzoic acid-CoA ligase	menE		SL1344_2274	1368	455.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2410753	2411715	-	CBW18377.1			O-succinylbenzoate synthase	menC		SL1344_2275	963	320.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2411715	2412572	-	CBW18378.1			naphthoate synthase	menB		SL1344_2276	858	285.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2412587	2413345	-	CBW18379.1			conserved hypothetical protein	yfbB		SL1344_2277	759	252.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2413342	2415012	-	CBW18380.1			menaquinone biosynthesis protein	menD		SL1344_2278	1671	556.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2415098	2416393	-	CBW18381.1			isochorismate synthase	menF		SL1344_2279	1296	431.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2416494	2416805	-	CBW18382.1			conserved hypothetical protein	elaB		SL1344_2280	312	103.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2416854	2417315	-	CBW18383.1			conserved hypothetical protein	elaA		SL1344_2281	462	153.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2417376	2418293	+	CBW18384.1			Ribonuclease Z	elaC		SL1344_2282	918	305.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2418359	2419360	+	CBW18385.1			hypothetical receptor/regulator protein			SL1344_2283	1002	333.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2419401	2421182	-	CBW18386.1			lipoprotein	yfbK		SL1344_2284	1782	593.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2422070	2423527	-	CBW18387.1			NADH dehydrogenase I chain N	nuoN		SL1344_2285	1458	485.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2423534	2425063	-	CBW18388.1			NADH dehydrogenase I chain M	nuoM		SL1344_2286	1530	509.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2425377	2427218	-	CBW18389.1			NADH dehydrogenase I chain L	nuoL		SL1344_2287	1842	613.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2427215	2427517	-	CBW18390.1			NADH dehydrogenase I chain k	nuoK		SL1344_2288	303	100.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2427514	2428068	-	CBW18391.1			NADH dehydrogenase I chain J	nuoJ		SL1344_2289	555	184.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2428079	2428621	-	CBW18392.1			NADH dehydrogenase I chain I	nuoI		SL1344_2290	543	180.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2428636	2429613	-	CBW18393.1			NADH dehydrogenase I chain H	nuoH		SL1344_2291	978	325.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2429610	2432336	-	CBW18394.1			NADH dehydrogenase I chain G	nuoG		SL1344_2292	2727	908.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2432367	2433704	-	CBW18395.1			NADH dehydrogenase I chain F	nuoF		SL1344_2293	1338	445.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2433701	2434201	-	CBW18396.1			NADH dehydrogenase I chain E	nuoE		SL1344_2294	501	166.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2434204	2436006	-	CBW18397.1			NADH dehydrogenase I chain C; chain D	nuoC		SL1344_2295	1803	600.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2436093	2436755	-	CBW18398.1			NADH dehydrogenase I chain B	nuoB		SL1344_2296	663	220.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2436771	2437214	-	CBW18399.1			NADH dehydrogenase I chain A	nuoA		SL1344_2297	444	147.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2437609	2437761	-	CBW18400.1			hypothetical protein			SL1344_2298	153	50.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2437841	2438779	-	CBW18401.1			NADH dehydrogenase operon transcriptional regulator	lrhA		SL1344_2299	939	312.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2439711	2440925	+	CBW18402.1			hypothetical aminotransferase	yfbQ		SL1344_2300	1215	404.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2441019	2441618	+	CBW18403.1			Hypothetical UPF0207 protein <ORFName>.			SL1344_2301	600	199.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2441710	2443536	-	CBW18404.1			hypothetical sodium/sulphate transporter	yfbS		SL1344_2302	1827	608.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2443613	2444290	-	CBW18405.1			hypothetical phosphatase	yfbT		SL1344_2303	678	225.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2444283	2444777	-	CBW18406.1			Hypothetical UPF0304 protein <ORFName>.	yfbU		SL1344_2304	495	164.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2444860	2445315	-	CBW18407.1			conserved hypothetical protein			SL1344_2305	456	151.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2445655	2446857	+	CBW18408.1			acetate kinase	ackA		SL1344_2306	1203	400.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2446934	2449078	+	CBW18409.1			phosphate acetyltransferase	pta		SL1344_2307	2145	714.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2449296	2450816	+	CBW18410.1			hypothetical membrane protein	yfcC		SL1344_2308	1521	506.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2450865	2451818	-	CBW18411.1			hypothetical transketolase C-terminal section			SL1344_2309	954	317.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2451811	2452641	-	CBW18412.1			hypothetical transketolase N-terminal section			SL1344_2310	831	276.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2452638	2454029	-	CBW18413.1			hypothetical membrane protein			SL1344_2311	1392	463.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2454050	2454322	-	CBW18414.1			hypothetical sugar phosphotransferase component II B			SL1344_2312	273	90.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2454403	2454846	-	CBW18415.1			hypothetical sugar phosphotransferase component II A			SL1344_2313	444	147.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2455099	2456118	+	CBW18416.1			hypothetical transcriptional regulator			SL1344_2314	1020	339.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2456124	2456678	-	CBW18417.1			conserved hypothetical protein			SL1344_2315	555	184.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2456735	2457286	-	CBW18418.1			conserved hypothetical protein	yfcE		SL1344_2316	552	183.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2457342	2457986	-	CBW18419.1			hypothetical glutathione-S transferase	yfcF		SL1344_2317	645	214.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2458129	2458776	+	CBW18420.1			hypothetical glutathione-S transferase	yfcG		SL1344_2318	648	215.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2458902	2459795	+	CBW18421.1			conserved hypothetical protein	yfcH		SL1344_2319	894	297.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2459847	2460623	-	CBW18422.1			histidine transport ATP-binding protein	hisP		SL1344_2320	777	258.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2460634	2461341	-	CBW18423.1			histidine transport system permease	hisM		SL1344_2321	708	235.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2461338	2462024	-	CBW18424.1			histidine transport system permease protein	hisQ		SL1344_2322	687	228.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2462207	2462989	-	CBW18425.1			histidine-binding periplasmic protein	hisJ		SL1344_2323	783	260.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2463227	2464009	-	CBW18426.1			lysine-arginine-ornithine-binding periplasmic protein precursor	argT		SL1344_2324	783	260.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2464298	2464867	-	CBW18427.1			hypothetical decarboxylase	ubiX		SL1344_2325	570	189.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2464894	2466300	-	CBW18428.1			hypothetical amino acid permease			SL1344_2326	1407	468.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2466364	2467467	-	CBW18429.1			conserved hypothetical protein			SL1344_2327	1104	367.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2467469	2468890	-	CBW18430.1			hypothetical amino acid transporter			SL1344_2328	1422	473.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2468981	2470378	-	CBW18431.1			hypothetical amino acid decarboxylase			SL1344_2329	1398	465.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2470589	2472016	+	CBW18432.1			hypothetical transcriptional regulator			SL1344_2330	1428	475.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2472052	2473569	-	CBW18433.1			amidophosphoribosyltransferase	purF		SL1344_2331	1518	505.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2473607	2474095	-	CBW18434.1			colicin V production protein (DedE protein)	cvpA		SL1344_2332	489	162.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2474406	2475080	-	CBW18435.1			DedD protein	dedD		SL1344_2333	675	224.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2475070	2476338	-	CBW18436.1			folylpolyglutamate synthase	folC		SL1344_2334	1269	422.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2476406	2477320	-	CBW18437.1			acetyl-CoA carboxylase beta subunit	accD		SL1344_2335	915	304.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2477470	2478129	-	CBW18438.1			DedA protein (dsg-1 protein)	dedA		SL1344_2336	660	219.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2478178	2478990	-	CBW18439.1			tRNA pseudouridine synthase A	truA		SL1344_2337	813	270.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2478990	2480003	-	CBW18440.1			hypothetical semialdehyde dehydrogenase	usg		SL1344_2338	1014	337.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2480071	2481207	-	CBW18441.1			Erythronate-4-phosphate dehydrogenase	pdxB		SL1344_2339	1137	378.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2481311	2482312	+	CBW18442.1			Div protein	div		SL1344_2340	1002	333.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2482309	2483487	-	CBW18443.1			hypothetical transmembrane transporter			SL1344_2341	1179	392.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2483667	2484041	-	CBW18444.1			predicted bacteriophage protein			SL1344_2342	375	124.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2484214	2484462	+	CBW18445.1			hypothetical DNA-binding protein			SL1344_2343	249	82.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2484631	2484999	+	CBW18446.1			hypothetical protein			SL1344_2344	369	122.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2484999	2485517	+	CBW18447.1			hypothetical lipoprotein			SL1344_2345	519	172.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2485584	2486240	-	CBW18448.1			conserved hypothetical protein			SL1344_2346	657	218.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2486338	2487552	-	CBW18449.1			3-oxoacyl-[acyl-carrier-protein] synthase I	fabB		SL1344_2347	1215	404.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2487652	2489712	+	CBW18450.1			conserved hypothetical protein	mnmC		SL1344_2348	2061	686.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2489764	2490039	-	CBW18451.1			conserved hypothetical protein	yfcL		SL1344_2349	276	91.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2490072	2490620	-	CBW18452.1			conserved hypothetical protein	yfcM		SL1344_2350	549	182.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2490620	2491429	-	CBW18453.1			hypothetical membrane protein	yfcA		SL1344_2351	810	269.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2491429	2492253	-	CBW18454.1			penicillin-insensitive murein endopeptidase precursor	mepA		SL1344_2352	825	274.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2492257	2493342	-	CBW18455.1			Chorismate synthase	aroC		SL1344_2353	1086	361.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2493378	2494310	-	CBW18456.1			conserved hypothetical protein	yfcB		SL1344_2354	933	310.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2494476	2495027	+	CBW18457.1			conserved hypothetical protein	yfcN		SL1344_2355	552	183.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2495127	2495612	-	CBW18458.1			phosphohistidine phosphatase	sixA		SL1344_2356	486	161.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2495821	2497968	-	CBW18459.1			hypothetical fatty acid oxidation complex alpha subunit	fadJ		SL1344_2357	2148	715.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2497968	2499278	-	CBW18460.1			hypothetical 3-ketoacyl-CoA thiolase	fadI		SL1344_2358	1311	436.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2499456	2499740	-	CBW18461.1			conserved hypothetical protein	yfcZ		SL1344_2359	285	94.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2500105	2501418	+	CBW18462.1			long-chain fatty acid transport protein precursor	fadL		SL1344_2360	1314	437.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2501479	2502234	-	CBW18463.1			VacJ lipoprotein precursor	vacJ		SL1344_2361	756	251.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2502523	2503464	+	CBW18464.1			hypothetical membrane protein	yfdC		SL1344_2362	942	313.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2503771	2504709	-	CBW18465.1			outer membrane protease E	pgtE		SL1344_2363	939	312.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2504977	2506224	-	CBW18466.1			phosphoglycerate transport system transcriptional regulatory protein PgtA	pgtA		SL1344_2364	1248	415.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2506214	2508220	-	CBW18467.1			phosphoglycerate transport system sensor protein PgtB	pgtB		SL1344_2365	2007	668.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2508217	2509410	-	CBW18468.1			phosphoglycerate transport regulatory protein PgtC precursor	pgtC		SL1344_2366	1194	397.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2509846	2511237	+	CBW18469.1			phosphoglycerate transporter protein	pgtP		SL1344_2367	1392	463.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2511513	2511755	-	CBW18470.1			conserved hypothetical protein			SL1344_2368	243	80.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2512277	2513197	+	CBW18471.1			encodes the cold shock-induced palmitoleoyl transferase	lpxP		SL1344_2369	921	306.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2513600	2513671	+	CCG27791.1			conserved sORF	ypdK		SL1344_2369A	72	23.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2513721	2514959	-	CBW18472.1			hypothetical aminotransferase	yfdZ		SL1344_2370	1239	412.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2515680	2516645	-	CBW18473.1			Glucokinase	glk		SL1344_2371	966	321.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2516849	2518084	+	CBW18474.1			hypothetical membrane protein			SL1344_2372	1236	411.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2518104	2519756	-	CBW18475.1			hypothetical decarboxylase			SL1344_2373	1653	550.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2519936	2520934	+	CBW18476.1			hypothetical ion-channel protein			SL1344_2374	999	332.0	
CDS	with_protein	GCA_000210855.2	Primary Assembly	chromosome		FQ312003.1	2521048	2521374	+	CBW18477.1			conserved hypothetical protein	ypeC		SL1344_2375	327	108.0	
